CH4long	G0229
Scanned warm at tilted by ~5 deg
Wavelength (nm)	%T
3300	0.3586
3299	0.67107
3298	0.88265
3297	0.43199
3296	0.90197
3295	0.29241
3294	0.60408
3293	0.52719
3292	1.0411
3291	0.62994
3290	0.94033
3289	0.64015
3288	0.79503
3287	0.94858
3286	0.46534
3285	0.40207
3284	0.13417
3283	0.36346
3282	0.69962
3281	0.20618
3280	0.17398
3279	0.56737
3278	0.47368
3277	0.31308
3276	0.5379
3275	0.29187
3274	0.44287
3273	0.010774
3272	0.25654
3271	0.39629
3270	0.59543
3269	0.21584
3268	0.61122
3267	0.55316
3266	0.18725
3265	0.10628
3264	0.22104
3263	0.50381
3262	0.44765
3261	0.33043
3260	0.28344
3259	0.40849
3258	0.33443
3257	0.39136
3256	0.07736
3255	0.36058
3254	0.27748
3253	0.37183
3252	0.19037
3251	0.36785
3250	0.071989
3249	0.25202
3248	0.23724
3247	0.49853
3246	0.39436
3245	0.18983
3244	0.42346
3243	0.40759
3242	0.30676
3241	0.15453
3240	0.24955
3239	0.34929
3238	0.13087
3237	0.36241
3236	0.10463
3235	0.13268
3234	0.21698
3233	0.21193
3232	0.30403
3231	0.13713
3230	0.34062
3229	0.24401
3228	0.36301
3227	0.17152
3226	0.14927
3225	0.13873
3224	0.2132
3223	0.071106
3222	0.22692
3221	0.31263
3220	0.08629
3219	0.15569
3218	0.21176
3217	0.11777
3216	0.19271
3215	0.23578
3214	0.31134
3213	0.097981
3212	0.18479
3211	0.21588
3210	0.28307
3209	0.13939
3208	0.34697
3207	0.15106
3206	0.17775
3205	0.21015
3204	0.075225
3203	0.16859
3202	0.17441
3201	0.075543
3200	0.21273
3199	0.14551
3198	0.055722
3197	0.18907
3196	0.1572
3195	0.16514
3194	0.20267
3193	0.16696
3192	0.16201
3191	0.1388
3190	0.10649
3189	0.13348
3188	0.096628
3187	0.10121
3186	0.20184
3185	0.12767
3184	-0.040558
3183	0.16395
3182	0.20419
3181	0.083611
3180	0.077307
3179	0.10237
3178	0.23484
3177	0.16578
3176	0.071628
3175	0.15111
3174	0.22365
3173	0.24388
3172	0.10685
3171	0.049294
3170	0.17973
3169	0.1679
3168	0.10369
3167	0.15104
3166	0.1814
3165	0.054934
3164	0.098715
3163	0.15362
3162	0.19351
3161	0.14678
3160	0.076174
3159	0.08116
3158	0.14833
3157	0.10178
3156	0.16668
3155	0.12814
3154	0.1278
3153	0.20568
3152	0.035822
3151	0.028368
3150	0.086623
3149	0.10082
3148	0.053347
3147	0.15011
3146	0.035314
3145	0.045527
3144	0.14109
3143	0.12982
3142	0.1719
3141	0.11874
3140	0.045477
3139	0.14878
3138	0.073291
3137	0.15351
3136	0.08461
3135	0.095867
3134	0.021987
3133	0.096961
3132	0.12983
3131	0.05584
3130	0.16232
3129	0.031155
3128	0.14241
3127	0.09907
3126	0.1157
3125	0.15253
3124	0.085066
3123	0.072463
3122	0.081173
3121	0.12133
3120	0.084196
3119	0.069488
3118	0.066082
3117	0.10602
3116	0.10829
3115	0.051584
3114	0.078377
3113	0.081106
3112	0.090098
3111	0.10428
3110	0.087368
3109	0.073143
3108	0.12672
3107	0.061945
3106	0.096391
3105	0.076177
3104	0.091506
3103	0.046448
3102	0.10186
3101	0.007789
3100	0.099526
3099	0.033768
3098	0.043817
3097	0.080747
3096	0.049139
3095	0.10993
3094	0.11315
3093	0.069802
3092	0.083476
3091	0.10723
3090	0.055575
3089	0.091358
3088	0.025769
3087	0.04799
3086	0.08494
3085	0.053237
3084	0.04545
3083	0.083753
3082	0.025079
3081	0.085369
3080	0.066861
3079	0.049527
3078	0.050251
3077	0.076479
3076	0.074435
3075	0.033034
3074	0.071649
3073	0.02575
3072	-0.0052206
3071	0.083325
3070	0.049293
3069	0.06783
3068	0.044862
3067	0.069912
3066	0.04285
3065	0.051896
3064	0.049818
3063	0.11377
3062	0.03025
3061	0.060794
3060	0.025662
3059	0.075882
3058	0.063667
3057	0.035511
3056	0.033061
3055	0.022626
3054	0.052837
3053	0.040535
3052	0.074941
3051	0.055275
3050	0.070285
3049	0.026544
3048	0.031945
3047	0.057385
3046	0.05333
3045	0.065742
3044	0.046747
3043	0.04631
3042	0.031513
3041	0.070549
3040	0.037985
3039	0.026894
3038	0.061622
3037	0.043682
3036	0.042229
3035	0.034739
3034	0.0499
3033	0.061589
3032	-0.004577
3031	0.025057
3030	0.059517
3029	0.023804
3028	0.042998
3027	0.040666
3026	0.045839
3025	0.028387
3024	0.013886
3023	0.039326
3022	0.056248
3021	0.052664
3020	0.051289
3019	0.043626
3018	0.022617
3017	0.051768
3016	0.022109
3015	0.037129
3014	0.017807
3013	0.039775
3012	0.052523
3011	0.050154
3010	0.036256
3009	0.043737
3008	0.049578
3007	0.028729
3006	0.020465
3005	0.019402
3004	0.021293
3003	0.038234
3002	0.028518
3001	0.032095
3000	0.0092841
2999	0.052125
2998	0.046206
2997	0.0040925
2996	0.050498
2995	0.052662
2994	0.039458
2993	0.035098
2992	0.044018
2991	0.042043
2990	0.038918
2989	0.015572
2988	0.030544
2987	0.039484
2986	0.0085855
2985	0.039957
2984	0.0143
2983	0.021968
2982	0.030851
2981	0.022662
2980	0.03436
2979	0.0322
2978	0.031288
2977	0.029646
2976	0.062282
2975	0.020626
2974	0.031459
2973	0.029216
2972	0.017571
2971	0.006538
2970	0.038057
2969	0.017265
2968	0.036018
2967	0.018404
2966	0.02573
2965	0.028874
2964	0.03563
2963	0.027045
2962	0.036141
2961	0.031941
2960	0.027434
2959	0.034017
2958	0.028866
2957	0.0029542
2956	0.048466
2955	0.042069
2954	0.018227
2953	0.048637
2952	0.031454
2951	0.029835
2950	0.024131
2949	0.0089218
2948	0.029436
2947	0.024814
2946	0.027152
2945	0.020944
2944	0.019849
2943	0.0067356
2942	0.027293
2941	0.040624
2940	0.025428
2939	0.014002
2938	0.027356
2937	0.028532
2936	0.044698
2935	0.024613
2934	0.035941
2933	0.028203
2932	0.013353
2931	0.028216
2930	0.031737
2929	0.017903
2928	0.014888
2927	0.023828
2926	0.01638
2925	0.030775
2924	0.011739
2923	0.019064
2922	0.02292
2921	0.031597
2920	0.030798
2919	0.030406
2918	0.0095916
2917	0.017507
2916	0.013954
2915	0.020296
2914	0.021479
2913	0.017719
2912	0.027241
2911	0.044419
2910	0.014132
2909	0.024156
2908	0.018685
2907	0.013211
2906	0.033382
2905	0.0091591
2904	0.021955
2903	-0.00061744
2902	0.015294
2901	0.017671
