CH4short	G0228
Scanned warm and tilted by ~5 deg
Wavelength (nm)	%T
3300	0.27972
3299	0.28387
3298	0.32875
3297	0.52511
3296	0.25542
3295	0.31355
3294	0.23104
3293	0.55154
3292	0.42628
3291	0.65404
3290	0.56399
3289	0.5744
3288	0.13888
3287	0.68319
3286	0.16945
3285	0.14816
3284	-0.036453
3283	0.11898
3282	0.19832
3281	-0.13123
3280	0.2199
3279	0.36651
3278	0.32546
3277	0.26127
3276	0.13503
3275	0.2406
3274	0.41512
3273	0.027238
3272	0.18684
3271	0.19724
3270	0.48532
3269	-0.102
3268	0.48519
3267	0.46627
3266	0.34407
3265	0.083881
3264	0.23631
3263	0.32924
3262	0.27614
3261	0.014437
3260	0.027849
3259	0.15731
3258	0.17436
3257	0.44058
3256	0.22687
3255	0.12784
3254	0.30852
3253	0.3221
3252	0.20223
3251	0.16674
3250	0.11351
3249	0.027324
3248	0.031588
3247	0.2978
3246	0.28021
3245	0.10468
3244	0.21741
3243	0.1094
3242	0.27829
3241	0.08784
3240	0.10441
3239	0.13095
3238	0.092029
3237	0.2231
3236	0.041616
3235	0.14342
3234	0.16675
3233	0.20961
3232	0.22021
3231	0.041985
3230	0.10894
3229	0.19671
3228	0.28283
3227	-0.0091591
3226	0.026585
3225	0.11504
3224	0.29779
3223	0.08002
3222	0.1517
3221	0.25934
3220	0.053943
3219	0.10385
3218	0.22047
3217	0.036929
3216	0.14286
3215	0.089634
3214	0.1578
3213	0.058985
3212	0.15566
3211	0.10381
3210	0.23623
3209	0.11114
3208	0.22096
3207	-0.0099888
3206	0.13295
3205	0.096499
3204	0.12562
3203	0.13337
3202	0.11424
3201	0.1249
3200	0.15412
3199	0.054273
3198	0.095473
3197	0.091365
3196	0.044577
3195	0.09338
3194	0.13923
3193	0.049949
3192	0.068976
3191	0.016106
3190	0.15068
3189	0.020628
3188	0.036564
3187	0.085407
3186	0.1281
3185	0.11933
3184	-0.02717
3183	0.070858
3182	0.10503
3181	0.13144
3180	0.062305
3179	0.025979
3178	0.20653
3177	0.11056
3176	0.043563
3175	0.096972
3174	0.14308
3173	0.21661
3172	0.060087
3171	0.035175
3170	0.13377
3169	0.08363
3168	0.045446
3167	0.042345
3166	0.17444
3165	0.016444
3164	0.048314
3163	0.079083
3162	0.10733
3161	0.17023
3160	0.051125
3159	0.09209
3158	0.082338
3157	0.107
3156	0.10173
3155	0.080682
3154	0.0463
3153	0.14773
3152	0.091912
3151	0.089447
3150	0.046705
3149	-0.027739
3148	0.058212
3147	0.089076
3146	0.072732
3145	-0.0092878
3144	0.092302
3143	0.15043
3142	0.060492
3141	-0.0023928
3140	-0.012438
3139	0.10159
3138	0.062371
3137	0.092077
3136	-0.037181
3135	0.050324
3134	-0.0034241
3133	0.027207
3132	0.095043
3131	0.065004
3130	0.089715
3129	0.049618
3128	0.13722
3127	0.075009
3126	0.054731
3125	0.07368
3124	0.052376
3123	0.062995
3122	0.0492
3121	0.022783
3120	0.048349
3119	0.051467
3118	0.056958
3117	0.03656
3116	0.069483
3115	0.046939
3114	0.057036
3113	0.084871
3112	0.023786
3111	0.067163
3110	0.082846
3109	0.080687
3108	0.058919
3107	0.077232
3106	0.014133
3105	0.068132
3104	0.041396
3103	0.019436
3102	0.041442
3101	0.0036143
3100	0.084316
3099	0.029719
3098	0.028956
3097	0.08758
3096	0.013032
3095	0.091987
3094	0.070801
3093	0.041713
3092	0.034987
3091	0.055896
3090	0.031603
3089	0.077713
3088	0.012118
3087	-0.0082502
3086	0.087837
3085	0.001119
3084	0.032299
3083	0.023017
3082	0.031085
3081	0.072639
3080	0.10056
3079	0.027782
3078	0.0011946
3077	0.021877
3076	0.050196
3075	0.020909
3074	0.056688
3073	-0.0037673
3072	0.017566
3071	0.057324
3070	0.014916
3069	0.033771
3068	0.055753
3067	0.064158
3066	0.045284
3065	0.040746
3064	0.038783
3063	0.084137
3062	-0.0099045
3061	0.028989
3060	0.020227
3059	0.044559
3058	0.073755
3057	0.017438
3056	0.042942
3055	0.017428
3054	0.032773
3053	0.010705
3052	0.02091
3051	0.030814
3050	0.053228
3049	0.016759
3048	0.0056438
3047	0.06892
3046	0.043804
3045	0.033115
3044	0.04887
3043	0.030147
3042	0.051641
3041	0.061367
3040	0.031088
3039	0.015635
3038	0.026322
3037	0.034788
3036	0.013904
3035	0.025987
3034	0.015635
3033	0.033915
3032	0.0015416
3031	0.018628
3030	0.026256
3029	0.011268
