H2Oice	G0230
scanned warm and tilted by ~5 deg	
Wavelength (nm)	%T
3300	0.35255
3299	0.93723
3298	0.41471
3297	0.59972
3296	0.59123
3295	0.46348
3294	0.55981
3293	0.3909
3292	0.70788
3291	0.55742
3290	0.5747
3289	0.66188
3288	0.62543
3287	0.45474
3286	0.28555
3285	0.33521
3284	0.49764
3283	0.83081
3282	0.39125
3281	0.49578
3280	0.6185
3279	0.31919
3278	0.64449
3277	0.37249
3276	0.77406
3275	0.44479
3274	0.27701
3273	0.53992
3272	0.30439
3271	0.39918
3270	0.3597
3269	0.46377
3268	0.55646
3267	0.50645
3266	0.27992
3265	0.46295
3264	0.44714
3263	0.30791
3262	0.43211
3261	0.24019
3260	0.60193
3259	0.41239
3258	0.19257
3257	0.28471
3256	0.46578
3255	0.35158
3254	0.13511
3253	0.46371
3252	0.51874
3251	0.38431
3250	0.33
3249	0.48802
3248	0.37481
3247	0.33175
3246	0.24892
3245	0.34584
3244	0.42908
3243	0.65283
3242	0.42652
3241	0.33504
3240	0.37826
3239	0.34006
3238	0.51125
3237	0.38004
3236	0.57756
3235	0.43744
3234	0.54525
3233	0.4153
3232	0.52913
3231	0.36448
3230	0.73123
3229	0.43192
3228	0.52961
3227	0.42659
3226	0.55688
3225	0.48915
3224	0.58573
3223	0.48558
3222	0.50703
3221	0.5005
3220	0.69367
3219	0.54542
3218	0.62261
3217	0.63115
3216	0.68697
3215	0.73898
3214	0.60007
3213	0.74084
3212	0.74843
3211	0.6702
3210	0.7335
3209	0.73338
3208	0.78345
3207	0.86744
3206	0.82284
3205	0.90082
3204	0.95713
3203	0.99283
3202	0.99319
3201	0.9433
3200	0.98054
3199	1.0688
3198	1.0979
3197	1.2214
3196	1.2078
3195	1.262
3194	1.2694
3193	1.3123
3192	1.3963
3191	1.4255
3190	1.4794
3189	1.5601
3188	1.5801
3187	1.7096
3186	1.8014
3185	1.9555
3184	1.8779
3183	2.0024
3182	2.0068
3181	2.294
3180	2.3092
3179	2.3836
3178	2.5195
3177	2.8018
3176	2.8661
3175	3.0979
3174	3.2211
3173	3.3186
3172	3.596
3171	3.797
3170	3.9977
3169	4.2158
3168	4.4205
3167	4.7757
3166	5.0883
3165	5.3746
3164	5.6945
3163	6.1036
3162	6.5402
3161	6.9551
3160	7.3981
3159	7.9421
3158	8.4307
3157	8.9394
3156	9.5625
3155	10.337
3154	11.009
3153	11.716
3152	12.517
3151	13.338
3150	14.344
3149	15.273
3148	16.279
3147	17.429
3146	18.628
3145	19.822
3144	21.039
3143	22.457
3142	23.818
3141	25.355
3140	26.839
3139	28.285
3138	30.004
3137	31.587
3136	33.33
3135	34.997
3134	36.799
3133	38.548
3132	40.31
3131	42.079
3130	43.738
3129	45.556
3128	47.219
3127	48.985
3126	50.603
3125	52.173
3124	53.799
3123	55.213
3122	56.642
3121	57.894
3120	59.158
3119	60.345
3118	61.402
3117	62.385
3116	63.26
3115	64.035
3114	64.699
3113	65.303
3112	65.792
3111	66.254
3110	66.501
3109	66.712
3108	66.921
3107	66.94
3106	66.957
3105	66.877
3104	66.781
3103	66.586
3102	66.391
3101	66.131
3100	65.836
3099	65.571
3098	65.223
3097	64.959
3096	64.619
3095	64.292
3094	63.955
3093	63.664
3092	63.356
3091	63.052
3090	62.807
3089	62.558
3088	62.349
3087	62.194
3086	61.991
3085	61.896
3084	61.8
3083	61.713
3082	61.678
3081	61.733
3080	61.718
3079	61.774
3078	61.843
3077	61.987
3076	62.116
3075	62.285
3074	62.502
3073	62.676
3072	62.903
3071	63.146
3070	63.41
3069	63.688
3068	63.976
3067	64.263
3066	64.576
3065	64.882
3064	65.206
3063	65.555
3062	65.857
3061	66.166
3060	66.5
3059	66.81
3058	67.095
3057	67.395
3056	67.694
3055	67.913
3054	68.173
3053	68.437
3052	68.644
3051	68.887
3050	69.075
3049	69.234
3048	69.37
3047	69.49
3046	69.618
3045	69.735
3044	69.806
3043	69.852
3042	69.897
3041	69.909
3040	69.935
3039	69.947
3038	69.934
3037	69.934
3036	69.858
3035	69.837
3034	69.798
3033	69.724
3032	69.697
3031	69.628
3030	69.557
3029	69.52
3028	69.509
3027	69.435
3026	69.395
3025	69.356
3024	69.332
3023	69.323
3022	69.296
3021	69.301
3020	69.273
3019	69.291
3018	69.251
3017	69.25
3016	69.268
3015	69.24
3014	69.222
3013	69.189
3012	69.134
3011	69.048
3010	68.973
3009	68.861
3008	68.652
3007	68.467
